Region,Country
Northern Africa,Algeria
Central Africa,Angola
Western Africa,Benin
Southern Africa,Botswana
Western Africa,Burkina Faso
Eastern Africa,Burundi
Western Africa,Cabo Verde
Central Africa,Cameroon
Central Africa,Central African Republic
Central Africa,Chad
Eastern Africa,Comoros
Central Africa,Congo (Brazzaville)
Central Africa,Congo (Kinshasa)
Western Africa,Cote d'Ivoire
Eastern Africa,Djibouti
Northern Africa,Egypt
Central Africa,Equatorial Guinea
Eastern Africa,Eritrea
Southern Africa,Eswatini
Eastern Africa,Ethiopia
Central Africa,Gabon
Western Africa,Gambia
Western Africa,Ghana
Western Africa,Guinea
Western Africa,Guinea-Bissau
Eastern Africa,Kenya
Southern Africa,Lesotho
Western Africa,Liberia
Northern Africa,Libya
Eastern Africa,Madagascar
Eastern Africa,Malawi
Western Africa,Mali
Eastern Africa,Mauritania
Eastern Africa,Mauritius
Northern Africa,Morocco
Eastern Africa,Mozambique
Southern Africa,Namibia
Western Africa,Niger
Western Africa,Nigeria
Eastern Africa,Rwanda
Central Africa,Sao Tome and Principe
Western Africa,Senegal
Eastern Africa,Seychelles
Western Africa,Sierra Leone
Eastern Africa,Somalia
Southern Africa,South Africa
Eastern Africa,South Sudan
Northern Africa,Sudan
Eastern Africa,Tanzania
Western Africa,Togo
Northern Africa,Tunisia
Eastern Africa,Uganda
Southern Africa,Zambia
Southern Africa,Zimbabwe
